Year,Forest,Config,Area
2045,production_exotic,central2025,21009.4
2046,production_exotic,central2025,21009.4
2047,production_exotic,central2025,21009.4
2048,production_exotic,central2025,21009.4
2049,production_exotic,central2025,21009.4
2050,production_exotic,central2025,21009.4
2051,production_exotic,central2025,21009.4
2052,production_exotic,central2025,21009.4
2053,production_exotic,central2025,21009.4
2054,production_exotic,central2025,21009.4
2055,production_exotic,central2025,21009.4
2056,production_exotic,central2025,21009.4
2057,production_exotic,central2025,21009.4
2058,production_exotic,central2025,21009.4
2059,production_exotic,central2025,21009.4
2060,production_exotic,central2025,21009.4
2061,production_exotic,central2025,21009.4
2062,production_exotic,central2025,21009.4
2063,production_exotic,central2025,21009.4
2064,production_exotic,central2025,21009.4
2065,production_exotic,central2025,21009.4
2066,production_exotic,central2025,21009.4
2067,production_exotic,central2025,21009.4
2068,production_exotic,central2025,21009.4
2069,production_exotic,central2025,21009.4
2070,production_exotic,central2025,21009.4
2071,production_exotic,central2025,21009.4
2072,production_exotic,central2025,21009.4
2073,production_exotic,central2025,21009.4
2074,production_exotic,central2025,21009.4
2075,production_exotic,central2025,21009.4
2076,production_exotic,central2025,21009.4
2077,production_exotic,central2025,21009.4
2078,production_exotic,central2025,21009.4
2079,production_exotic,central2025,21009.4
2080,production_exotic,central2025,21009.4
2022,permanent_exotic,high2025,12728.64732
2023,permanent_exotic,high2025,10169.3
2024,permanent_exotic,high2025,6394.5
2025,permanent_exotic,high2025,6000
2026,permanent_exotic,high2025,6000
2027,permanent_exotic,high2025,6000
2028,permanent_exotic,high2025,6000
2029,permanent_exotic,high2025,6000
2030,permanent_exotic,high2025,6000
2031,permanent_exotic,high2025,6000
2032,permanent_exotic,high2025,6000
2033,permanent_exotic,high2025,6000
2034,permanent_exotic,high2025,6000
2035,permanent_exotic,high2025,6000
2036,permanent_exotic,high2025,6000
2037,permanent_exotic,high2025,6000
2038,permanent_exotic,high2025,6000
2039,permanent_exotic,high2025,6000
2040,permanent_exotic,high2025,6000
2041,permanent_exotic,high2025,6000
2042,permanent_exotic,high2025,6000
2043,permanent_exotic,high2025,6000
2044,permanent_exotic,high2025,6000
2045,permanent_exotic,high2025,6000
2046,permanent_exotic,high2025,6000
2047,permanent_exotic,high2025,6000
2048,permanent_exotic,high2025,6000
2049,permanent_exotic,high2025,6000
2050,permanent_exotic,high2025,6000
2051,permanent_exotic,high2025,6000
2052,permanent_exotic,high2025,6000
2053,permanent_exotic,high2025,6000
2054,permanent_exotic,high2025,6000
2055,permanent_exotic,high2025,6000
2056,permanent_exotic,high2025,6000
2057,permanent_exotic,high2025,6000
2058,permanent_exotic,high2025,6000
2059,permanent_exotic,high2025,6000
2060,permanent_exotic,high2025,6000
2061,permanent_exotic,high2025,6000
2062,permanent_exotic,high2025,6000
2063,permanent_exotic,high2025,6000
2064,permanent_exotic,high2025,6000
2065,permanent_exotic,high2025,6000
2066,permanent_exotic,high2025,6000
2067,permanent_exotic,high2025,6000
2068,permanent_exotic,high2025,6000
2069,permanent_exotic,high2025,6000
2070,permanent_exotic,high2025,6000
2071,permanent_exotic,high2025,6000
2072,permanent_exotic,high2025,6000
2073,permanent_exotic,high2025,6000
2074,permanent_exotic,high2025,6000
2075,permanent_exotic,high2025,6000
2076,permanent_exotic,high2025,6000
2077,permanent_exotic,high2025,6000
2078,permanent_exotic,high2025,6000
2079,permanent_exotic,high2025,6000
2080,permanent_exotic,high2025,6000
2022,natural_forest,high2025,6874
2023,natural_forest,high2025,9043.749
2024,natural_forest,high2025,1769
2025,natural_forest,high2025,624
2026,natural_forest,high2025,545
2027,natural_forest,high2025,545
2028,natural_forest,high2025,345
2029,natural_forest,high2025,345
2030,natural_forest,high2025,345
2031,natural_forest,high2025,345
2032,natural_forest,high2025,345
2033,natural_forest,high2025,345
2034,natural_forest,high2025,345
2035,natural_forest,high2025,345
2036,natural_forest,high2025,345
2037,natural_forest,high2025,345
2038,natural_forest,high2025,345
2039,natural_forest,high2025,345
2040,natural_forest,high2025,345
2041,natural_forest,high2025,345
2042,natural_forest,high2025,345
2043,natural_forest,high2025,345
2044,natural_forest,high2025,345
2045,natural_forest,high2025,345
2046,natural_forest,high2025,345
2047,natural_forest,high2025,345
2048,natural_forest,high2025,345
2049,natural_forest,high2025,345
2050,natural_forest,high2025,345
2051,natural_forest,high2025,345
2052,natural_forest,high2025,345
2053,natural_forest,high2025,345
2054,natural_forest,high2025,345
2055,natural_forest,high2025,345
2056,natural_forest,high2025,345
2057,natural_forest,high2025,345
2058,natural_forest,high2025,345
2059,natural_forest,high2025,345
2060,natural_forest,high2025,345
2061,natural_forest,high2025,345
2062,natural_forest,high2025,345
2063,natural_forest,high2025,345
2064,natural_forest,high2025,345
2065,natural_forest,high2025,345
2066,natural_forest,high2025,345
2067,natural_forest,high2025,345
2068,natural_forest,high2025,345
2069,natural_forest,high2025,345
2070,natural_forest,high2025,345
2071,natural_forest,high2025,345
2072,natural_forest,high2025,345
2073,natural_forest,high2025,345
2074,natural_forest,high2025,345
2075,natural_forest,high2025,345
2076,natural_forest,high2025,345
2077,natural_forest,high2025,345
2078,natural_forest,high2025,345
2079,natural_forest,high2025,345
2080,natural_forest,high2025,345
2022,production_exotic,high2025,69936.09587
2023,production_exotic,high2025,58370.285
2024,production_exotic,high2025,45367.625
2025,production_exotic,high2025,21930.36913
2026,production_exotic,high2025,20408.16913
2027,production_exotic,high2025,25408.16913
2028,production_exotic,high2025,30018.8
2029,production_exotic,high2025,30018.8
2030,production_exotic,high2025,30018.8
2031,production_exotic,high2025,30018.8
2032,production_exotic,high2025,30018.8
2033,production_exotic,high2025,30018.8
2034,production_exotic,high2025,30018.8
2035,production_exotic,high2025,30018.8
2036,production_exotic,high2025,30018.8
2037,production_exotic,high2025,30018.8
2038,production_exotic,high2025,30018.8
2039,production_exotic,high2025,30018.8
2040,production_exotic,high2025,30018.8
2041,production_exotic,high2025,30018.8
2042,production_exotic,high2025,30018.8
2043,production_exotic,high2025,30018.8
2044,production_exotic,high2025,30018.8
2045,production_exotic,high2025,30018.8
2046,production_exotic,high2025,30018.8
2047,production_exotic,high2025,30018.8
2048,production_exotic,high2025,30018.8
2049,production_exotic,high2025,30018.8
2050,production_exotic,high2025,30018.8
2051,production_exotic,high2025,30018.8
2052,production_exotic,high2025,30018.8
2053,production_exotic,high2025,30018.8
2054,production_exotic,high2025,30018.8
2055,production_exotic,high2025,30018.8
2056,production_exotic,high2025,30018.8
2057,production_exotic,high2025,30018.8
2058,production_exotic,high2025,30018.8
2059,production_exotic,high2025,30018.8
2060,production_exotic,high2025,30018.8
2061,production_exotic,high2025,30018.8
2062,production_exotic,high2025,30018.8
2063,production_exotic,high2025,30018.8
2064,production_exotic,high2025,30018.8
2065,production_exotic,high2025,30018.8
2066,production_exotic,high2025,30018.8
2067,production_exotic,high2025,30018.8
2068,production_exotic,high2025,30018.8
2069,production_exotic,high2025,30018.8
2070,production_exotic,high2025,30018.8
2071,production_exotic,high2025,30018.8
2072,production_exotic,high2025,30018.8
2073,production_exotic,high2025,30018.8
2074,production_exotic,high2025,30018.8
2075,production_exotic,high2025,30018.8
2076,production_exotic,high2025,30018.8
2077,production_exotic,high2025,30018.8
2078,production_exotic,high2025,30018.8
2079,production_exotic,high2025,30018.8
2080,production_exotic,high2025,30018.8
2022,permanent_exotic,low2025,12728.64732
2023,permanent_exotic,low2025,10169.3
2024,permanent_exotic,low2025,6394.5
2025,permanent_exotic,low2025,6000
2026,permanent_exotic,low2025,6000
2027,permanent_exotic,low2025,6000
2028,permanent_exotic,low2025,6000
2029,permanent_exotic,low2025,6000
2030,permanent_exotic,low2025,6000
2031,permanent_exotic,low2025,6000
2032,permanent_exotic,low2025,6000
2033,permanent_exotic,low2025,6000
2034,permanent_exotic,low2025,6000
